
TableName              ColumnName                         TypeName      max_length is_nullable
Notes                  DtpChequeDueDate1                  datetime               8        True
Notes                  NoteDateH                          nvarchar             510        True
Notes                  ManulaNO                           nvarchar            8000        True
Notes                  CarId                              int                    4        True
Notes                  DriverId                           int                    4        True
Notes                  NCashingType                       int                    4        True
Notes                  note_count                         int                    4        True
Notes                  ManualNo                           nvarchar             510        True
Notes                  BookNo                             nvarchar             510        True
Notes                  ContractNo                         nvarchar             510        True
Notes                  ContNo                             int                    4        True
Notes                  akarid                             int                    4        True
Notes                  unittype                           int                    4        True
Notes                  UnitNo                             int                    4        True
Notes                  interval                           int                    4        True
Notes                  intervaltype                       int                    4        True
Notes                  renterName                         nvarchar            8000        True
Notes                  AllowDateH                         nvarchar              20        True
Notes                  AllowDate                          datetime               8        True
Notes                  NoteSerial2                        float                  8        True
Notes                  NoteId2                            nvarchar             510        True
Notes                  Telephone                          nvarchar             510        True
Notes                  StatusEarnest                      int                    4        True
Notes                  FilterID                           int                    4        True
Notes                  FIlterTotal                        float                  8        True
Notes                  commission                         float                  8        True
Notes                  rent                               float                  8        True
Notes                  Water                              float                  8        True
Notes                  Instrunce                          float                  8        True
Notes                  comX                               float                  8        True
Notes                  ComY                               float                  8        True
Notes                  CommissionOut                      float                  8        True
Notes                  NoteOrBonID                        int                    4        True
Notes                  comXold                            float                  8        True
Notes                  ComYold                            float                  8        True
Notes                  NoteOrBonValue                     float                  8        True
Notes                  NoteOrBonSereal                    nvarchar            8000        True
Notes                  FrmPriodDate                       datetime               8        True
Notes                  ToPriodDate                        datetime               8        True
Notes                  FrmPriodDateH                      nvarchar              20        True
Notes                  ToPriodDateH                       nvarchar              20        True
Notes                  Remark2                            nvarchar            8000        True
Notes                  OrderIDD                           float                  8        True
Notes                  AdvanceIDD                         int                    4        True
Notes                  ProjectID                          int                    4        True
Notes                  Pand                               int                    4        True
Notes                  Oper                               int                    4        True
Notes                  subcontractType                    int                    4        True
Notes                  fixedid                            int                    4        True
Notes                  Count                              float                  8        True
Notes                  price                              float                  8        True
Notes                  discount                           float                  8        True
Notes                  Electricity                        float                  8        True
Notes                  commdiscounttype                   int                    4        True
Notes                  Commdiscountvalue                  float                  8        True
Notes                  Commdiscountvalue1                 float                  8        True
Notes                  CommdiscountAccount                nvarchar             800        True
Notes                  OrderSerial                        nvarchar             510        True
Notes                  OrderID                            int                    4        True
Notes                  DeptID                             int                    4        True
Notes                  Status                             int                    4        True
Notes                  Prefix                             nvarchar             510        True
Notes                  PayrollMonth                       int                    4        True
Notes                  PayrollYear                        int                    4        True
Notes                  empDes                             text                  16        True
Notes                  empDes1                            text                  16        True
Notes                  PayDes                             nvarchar            8000        True
Notes                  PayDes1                            nvarchar            8000        True
Notes                  Due                                int                    4        True
Notes                  TypAmola                           int                    4        True
Notes                  AmolaValus                         float                  8        True
Notes                  TxtNoSupplerDes                    nvarchar            8000        True
Notes                  TxtOrderSuppler                    int                    4        True
Notes                  NumIqama                           nvarchar             200        True
Notes                  TransferExpensesBranch             float                  8        True
Notes                  ToCommision                        bit                    1        True
Notes                  BeneficiaryBanck                   nvarchar             510        True
Notes                  BeneficiaryAddress                 nvarchar            8000        True
Notes                  BeneficiaryACNo                    nvarchar             200        True
Notes                  BenefiBanckAddress                 nvarchar            8000        True
Notes                  BenefiBanckCode                    nvarchar             200        True
